Date,Price,Open,High,Low,Vol.,Change %,,
9-Mar-15,3671.40,3648.85,3690.85,3624.10,17.91K,-0.06%,,
5-Mar-15,3673.55,3665.45,3711.50,3645.80,19.34K,0.12%,,
4-Mar-15,3669.20,3750.00,3785.15,3650.00,35.59K,-1.07%,,
3-Mar-15,3708.90,3725.00,3731.20,3690.15,22.00K,0.03%,,
2-Mar-15,3707.95,3660.00,3725.00,3635.00,56.36K,2.48%,,
28-Feb-15,3618.25,3606.10,3633.00,3562.00,44.25K,0.34%,,
27-Feb-15,3606.15,3510.00,3617.95,3500.00,35.92K,2.75%,,
26-Feb-15,3509.55,3575.00,3590.05,3496.10,27.36K,-1.94%,,
25-Feb-15,3578.85,3600.00,3615.00,3560.00,22.25K,-0.27%,,
24-Feb-15,3588.60,3555.00,3599.90,3555.00,25.53K,1.09%,,
23-Feb-15,3549.85,3555.00,3574.00,3538.55,67.37K,-0.08%,,
20-Feb-15,3552.65,3602.50,3609.40,3547.05,16.38K,-1.11%,,
19-Feb-15,3592.35,3575.00,3614.00,3564.00,23.60K,0.90%,,
18-Feb-15,3560.45,3574.00,3587.95,3550.45,23.05K,-0.38%,,
16-Feb-15,3574.00,3615.00,3655.60,3560.00,26.55K,-1.07%,,
13-Feb-15,3612.65,3557.50,3625.00,3531.00,47.03K,1.74%,,
12-Feb-15,3550.85,3473.00,3559.40,3467.30,42.00K,2.51%,,
11-Feb-15,3463.95,3396.30,3475.00,3396.30,27.78K,2.10%,,
10-Feb-15,3392.55,3437.45,3474.90,3362.00,42.96K,-0.54%,,
9-Feb-15,3410.85,3500.00,3500.00,3400.00,28.34K,-2.57%,,
6-Feb-15,3500.75,3530.00,3533.85,3489.05,20.49K,-0.61%,,
5-Feb-15,3522.25,3561.25,3595.95,3500.10,39.23K,-0.98%,,
4-Feb-15,3556.95,3625.00,3634.75,3549.85,23.06K,-1.42%,,
3-Feb-15,3608.10,3690.10,3693.30,3599.00,27.07K,-1.69%,,
2-Feb-15,3670.25,3655.00,3725.00,3627.10,37.87K,0.69%,,
30-Jan-15,3645.25,3705.95,3740.45,3621.00,30.15K,-1.14%,,
29-Jan-15,3687.20,3725.00,3739.75,3677.10,48.58K,-1.01%,,
28-Jan-15,3724.75,3703.95,3758.00,3691.15,70.00K,1.07%,,
27-Jan-15,3685.20,3650.00,3704.00,3587.05,158.33K,2.12%,,
23-Jan-15,3608.65,3640.00,3640.00,3577.55,42.17K,0.30%,,
22-Jan-15,3597.70,3634.70,3643.90,3591.80,32.03K,-1.02%,,
